source,q,safe_region,risky_region,clarify,refuse,safe_alt,high_level,direct_help,unsafe_detail,entropy_bits
S6,0.5,0.7035570245963074,0.013804118913869939,0.0345215878879906,0.31155779671101647,0.23080769259897163,0.12666994739832874,0.008097738816341309,0.005706380097528631,3.1105640355450372
S6,0.6,0.7302942643656026,0.009009318539238734,0.03314100987240551,0.3305544792041884,0.24003181677451685,0.12656695851449185,0.005816923329656462,0.0031923952095822728,3.0036976570333858
S6,0.7,0.7548127344866848,0.005934602998841497,0.03165623304540078,0.34895224040614786,0.24837384878261967,0.1258304122525166,0.004157587864615859,0.001777015134225638,2.900664170016612
S6,0.8,0.7774123401505678,0.003943992546277368,0.03011002647394083,0.3668152156754058,0.25591829201937005,0.1245688059818512,0.002959020264236415,0.0009849722820409535,2.801000608312488
S6,0.9,0.7982856137170206,0.0026421454471448574,0.028533609841244163,0.3841690480954576,0.26271838660632896,0.1228645691739899,0.0020982059815889656,0.0005439394655558918,2.704349605267947
S6,1.0,0.8175624749690111,0.0017823024064722607,0.026950592286913586,0.40101758305570107,0.2688101247349985,0.12078417489139799,0.0014829083700533578,0.00029939403641890297,2.610517402905358
S13,0.0,0.48577175135684464,0.08570470810719255,0.042852354053596275,0.17377486473735987,0.17377486473735987,0.09536966782852863,0.042852354053596275,0.042852354053596275,3.732438673062936
S13,0.1,0.5150275233337948,0.06941191384261032,0.041556056282359484,0.186241323247004,0.19000364754494967,0.09722649625948168,0.041556056282359484,0.027855857560250833,3.6659520124036327
S13,0.2,0.5423405031659798,0.057933453265573254,0.039972604356844695,0.19798560546696917,0.20606555130502494,0.09831674203714105,0.039972604356844695,0.017960848908728563,3.5933495206403463
S13,0.3,0.5682164988947536,0.049714586078444915,0.038206891502680154,0.20914251408710013,0.22207516489406065,0.09879192841091261,0.038206891502680154,0.01150769457576476,3.517725786867745
S13,0.4,0.5930035993441726,0.04366828027725493,0.03633281203785725,0.21980070421981526,0.23810726034717458,0.09876282273932543,0.03633281203785725,0.007335468239397679,3.440430992700343
S13,0.5,0.6169203440457443,0.03905799319305214,0.034402166276120354,0.23000925230788036,0.2541995365389934,0.0983093889227502,0.034402166276120354,0.004655826916931793,3.3619207461278293
S13,0.6,0.640087942978319,0.03539559331075042,0.03245164637109307,0.2397870355386659,0.2703591276193977,0.09749013344916235,0.03245164637109307,0.002943946939657352,3.2822682823075113
S13,0.7,0.6625590355046235,0.032362979623727,0.03050779848716497,0.24913186610456348,0.28656985804048635,0.09634951287240863,0.03050779848716497,0.0018551811365620301,3.2014443234174768
S13,0.8,0.6843408119047855,0.029755749307744165,0.028590343878747045,0.2580282394591558,0.30279894402819724,0.09492328453868534,0.028590343878747045,0.0011654054289971204,3.1194528761484994
S13,0.9,0.705412596604876,0.0274442498886572,0.026714315350646684,0.26645345546280763,0.3190027033438773,0.09324212244754441,0.026714315350646684,0.0007299345380105169,3.036384220045313
S13,1.0,0.7257387569219702,0.0253472964580628,0.024891394661996705,0.2743822337193505,0.335131217054963,0.09133391148565996,0.024891394661996705,0.00045590179606609725,2.952423649011476
S4,0.0,0.18718084272838495,0.516652416977612,0.029616674029400318,0.029616674029400318,0.029616674029400318,0.098330820640184,0.4870357429482117,0.029616674029400318,2.939809547777787
S4,0.1,0.18624551141595108,0.5158353169170362,0.029201997682065328,0.02833894822125419,0.029791917166701265,0.09891264834593032,0.49484130771977536,0.020994009197260858,2.905108543510217
S4,0.2,0.18487434016795307,0.5162540176409447,0.0287152717479323,0.027043024504436415,0.029887164219110227,0.0992288796964741,0.5014124911177341,0.014841526523210595,2.873142008278471
S4,0.3,0.18321238943450627,0.5175475725929666,0.028181365479092987,0.02575582875486913,0.029924003797252716,0.09935119140329143,0.5070760340597623,0.010471538533204278,2.8441247962829976
S4,0.4,0.18136383445085863,0.5194528748093138,0.027618098624768026,0.024495056093576783,0.029918329073982765,0.09933235065853104,0.5120751056934637,0.0073777691158500415,2.817914064407594
S4,0.5,0.17940234113986528,0.5217807726960589,0.027038069974224758,0.023271882493954107,0.029881688616407578,0.09921070005527884,0.5165881138282276,0.00519265886783142,2.7941964239772545
S4,0.6,0.1773793435515688,0.5243966307273323,0.026450098313210584,0.02209297920992433,0.029822402572109892,0.099013863456324,0.5207446858264292,0.0036519449009031145,2.7726001199744257
S4,0.7,0.17533033762527944,0.5272053230741196,0.025860307310844207,0.020961957702117968,0.029746433930060098,0.09876163868225715,0.5246383966047281,0.002566926469391449,2.75275729164182
S4,0.8,0.17327952368653382,0.5301400251882882,0.025272918935511743,0.019880382165150003,0.029658045112517798,0.09846817747335429,0.5283365176076544,0.0018035075806337472,2.734334878563243
S4,0.9,0.1712431633598469,0.5331540202959572,0.0246908226901584,0.01884846773997402,0.029560281634419604,0.09814359129529489,0.5318872993571335,0.0012667209388235873,2.717046874089222
S4,1.0,0.16923197455932903,0.5362147955639457,0.02411597877185233,0.017865556483761723,0.02945532298767254,0.09779511631604244,0.5353253218818587,0.0008894736820869796,2.700656152047916
